benchmark,run,result
function_call,baseline,59809726
function_call,remove_nops,59809726
function_call,dataflow,54208816
dead-branch,baseline,1196
dead-branch,remove_nops,1196
dead-branch,dataflow,1196
mat-inv,baseline,1044
mat-inv,remove_nops,1044
mat-inv,dataflow,1044
cholesky,baseline,3761
cholesky,remove_nops,3761
cholesky,dataflow,3738
mandelbrot,baseline,2720947
mandelbrot,remove_nops,2720947
mandelbrot,dataflow,2720542
norm,baseline,505
norm,remove_nops,505
norm,dataflow,504
n_root,baseline,733
n_root,remove_nops,733
n_root,dataflow,733
riemann,baseline,298
riemann,remove_nops,298
riemann,dataflow,298
conjugate-gradient,baseline,1999
conjugate-gradient,remove_nops,1999
conjugate-gradient,dataflow,1999
sqrt,baseline,322
sqrt,remove_nops,322
sqrt,dataflow,316
newton,baseline,217
newton,remove_nops,217
newton,dataflow,217
leibniz,baseline,12499997
leibniz,remove_nops,12499997
leibniz,dataflow,12499997
pow,baseline,36
pow,remove_nops,36
pow,dataflow,29
cordic,baseline,517
cordic,remove_nops,517
cordic,dataflow,503
ray-sphere-intersection,baseline,142
ray-sphere-intersection,remove_nops,142
ray-sphere-intersection,dataflow,132
euler,baseline,1908
euler,remove_nops,1908
euler,dataflow,1905
bitwise-ops,baseline,1690
bitwise-ops,remove_nops,1690
bitwise-ops,dataflow,1688
palindrome,baseline,298
palindrome,remove_nops,298
palindrome,dataflow,295
pythagorean_triple,baseline,61518
pythagorean_triple,remove_nops,61518
pythagorean_triple,dataflow,61518
lcm,baseline,2326
lcm,remove_nops,2326
lcm,dataflow,2326
relative-primes,baseline,1923
relative-primes,remove_nops,1923
relative-primes,dataflow,1912
quadratic,baseline,785
quadratic,remove_nops,785
quadratic,dataflow,781
ackermann,baseline,1464231
ackermann,remove_nops,1464231
ackermann,dataflow,1464231
fact,baseline,229
fact,remove_nops,229
fact,dataflow,228
sum-bits,baseline,73
sum-bits,remove_nops,73
sum-bits,dataflow,73
mod_inv,baseline,558
mod_inv,remove_nops,558
mod_inv,dataflow,553
euclid,baseline,563
euclid,remove_nops,563
euclid,dataflow,557
recfact,baseline,104
recfact,remove_nops,104
recfact,dataflow,103
digital-root,baseline,247
digital-root,remove_nops,247
digital-root,dataflow,247
check-primes,baseline,8468
check-primes,remove_nops,8468
check-primes,dataflow,8370
fitsinside,baseline,10
fitsinside,remove_nops,10
fitsinside,dataflow,10
sum-divisors,baseline,159
sum-divisors,remove_nops,159
sum-divisors,dataflow,159
hanoi,baseline,99
hanoi,remove_nops,99
hanoi,dataflow,99
birthday,baseline,484
birthday,remove_nops,484
birthday,dataflow,481
armstrong,baseline,133
armstrong,remove_nops,133
armstrong,dataflow,130
pascals-row,baseline,146
pascals-row,remove_nops,146
pascals-row,dataflow,135
rectangles-area-difference,baseline,14
rectangles-area-difference,remove_nops,14
rectangles-area-difference,dataflow,14
loopfact,baseline,116
loopfact,remove_nops,116
loopfact,dataflow,114
orders,baseline,5352
orders,remove_nops,5352
orders,dataflow,5352
perfect,baseline,232
perfect,remove_nops,232
perfect,dataflow,231
collatz,baseline,169
collatz,remove_nops,169
collatz,dataflow,169
fizz-buzz,baseline,3652
fizz-buzz,remove_nops,3652
fizz-buzz,dataflow,3457
primes-between,baseline,574100
primes-between,remove_nops,574100
primes-between,dataflow,569441
sum-sq-diff,baseline,3038
sum-sq-diff,remove_nops,3038
sum-sq-diff,dataflow,3032
reverse,baseline,46
reverse,remove_nops,46
reverse,dataflow,45
gcd,baseline,46
gcd,remove_nops,46
gcd,dataflow,46
totient,baseline,253
totient,remove_nops,253
totient,dataflow,253
catalan,baseline,659378
catalan,remove_nops,659378
catalan,dataflow,659378
factors,baseline,72
factors,remove_nops,72
factors,dataflow,72
up-arrow,baseline,252
up-arrow,remove_nops,252
up-arrow,dataflow,252
is-decreasing,baseline,127
is-decreasing,remove_nops,127
is-decreasing,dataflow,124
bitshift,baseline,167
bitshift,remove_nops,167
bitshift,dataflow,167
sum-check,baseline,5018
sum-check,remove_nops,5018
sum-check,dataflow,5018
binary-fmt,baseline,100
binary-fmt,remove_nops,100
binary-fmt,dataflow,100
adj2csr,baseline,56629
adj2csr,remove_nops,56629
adj2csr,dataflow,56629
mat-mul,baseline,1990407
mat-mul,remove_nops,1990407
mat-mul,dataflow,1990407
dot-product,baseline,88
dot-product,remove_nops,88
dot-product,dataflow,88
csrmv,baseline,121202
csrmv,remove_nops,121202
csrmv,dataflow,120652
sieve,baseline,3482
sieve,remove_nops,3482
sieve,dataflow,3452
vsmul,baseline,86036
vsmul,remove_nops,86036
vsmul,dataflow,86036
eight-queens,baseline,1006454
eight-queens,remove_nops,1006454
eight-queens,dataflow,943982
primitive-root,baseline,11029
primitive-root,remove_nops,11029
primitive-root,dataflow,11024
quickselect,baseline,279
quickselect,remove_nops,279
quickselect,dataflow,278
major-elm,baseline,47
major-elm,remove_nops,47
major-elm,dataflow,46
two-sum,baseline,98
two-sum,remove_nops,98
two-sum,dataflow,87
max-subarray,baseline,193
max-subarray,remove_nops,193
max-subarray,dataflow,192
binary-search,baseline,78
binary-search,remove_nops,78
binary-search,dataflow,71
quicksort-hoare,baseline,27333
quicksort-hoare,remove_nops,27333
quicksort-hoare,dataflow,27333
adler32,baseline,6851
adler32,remove_nops,6850
adler32,dataflow,6850
quicksort,baseline,264
quicksort,remove_nops,264
quicksort,dataflow,262
bubblesort,baseline,253
bubblesort,remove_nops,253
bubblesort,dataflow,252
fib,baseline,121
fib,remove_nops,121
fib,dataflow,120
