benchmark,run,result
function_call,baseline,timeout
function_call,tdce,timeout
function_call,lvn,timeout
function_call,test,timeout
dead-branch,baseline,1196
dead-branch,tdce,1196
dead-branch,lvn,1196
dead-branch,test,1196
mat-inv,baseline,1044
mat-inv,tdce,1044
mat-inv,lvn,1044
mat-inv,test,1044
cholesky,baseline,3761
cholesky,tdce,3750
cholesky,lvn,3761
cholesky,test,3656
mandelbrot,baseline,2720947
mandelbrot,tdce,2720813
mandelbrot,lvn,2720947
mandelbrot,test,2502141
norm,baseline,505
norm,tdce,505
norm,lvn,505
norm,test,505
n_root,baseline,733
n_root,tdce,733
n_root,lvn,733
n_root,test,733
riemann,baseline,298
riemann,tdce,298
riemann,lvn,298
riemann,test,298
conjugate-gradient,baseline,1999
conjugate-gradient,tdce,1999
conjugate-gradient,lvn,1999
conjugate-gradient,test,1999
sqrt,baseline,322
sqrt,tdce,321
sqrt,lvn,322
sqrt,test,302
newton,baseline,217
newton,tdce,217
newton,lvn,217
newton,test,217
leibniz,baseline,12499997
leibniz,tdce,12499997
leibniz,lvn,12499997
leibniz,test,12499997
pow,baseline,36
pow,tdce,34
pow,lvn,36
pow,test,32
cordic,baseline,517
cordic,tdce,516
cordic,lvn,517
cordic,test,508
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tdce,142
ray-sphere-intersection,lvn,142
ray-sphere-intersection,test,124
euler,baseline,1908
euler,tdce,1907
euler,lvn,1908
euler,test,1907
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
bitwise-ops,lvn,1690
bitwise-ops,test,1689
palindrome,baseline,298
palindrome,tdce,298
palindrome,lvn,298
palindrome,test,298
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
pythagorean_triple,lvn,61518
pythagorean_triple,test,61518
lcm,baseline,2326
lcm,tdce,2326
lcm,lvn,2326
lcm,test,2326
relative-primes,baseline,1923
relative-primes,tdce,1914
relative-primes,lvn,1923
relative-primes,test,1893
quadratic,baseline,785
quadratic,tdce,783
quadratic,lvn,785
quadratic,test,775
ackermann,baseline,1464231
ackermann,tdce,1464231
ackermann,lvn,1464231
ackermann,test,1464231
fact,baseline,229
fact,tdce,228
fact,lvn,229
fact,test,228
sum-bits,baseline,73
sum-bits,tdce,73
sum-bits,lvn,73
sum-bits,test,73
mod_inv,baseline,558
mod_inv,tdce,555
mod_inv,lvn,558
mod_inv,test,554
euclid,baseline,563
euclid,tdce,562
euclid,lvn,563
euclid,test,458
recfact,baseline,104
recfact,tdce,103
recfact,lvn,104
recfact,test,96
digital-root,baseline,247
digital-root,tdce,247
digital-root,lvn,247
digital-root,test,247
check-primes,baseline,8468
check-primes,tdce,8419
check-primes,lvn,8468
check-primes,test,7372
fitsinside,baseline,10
fitsinside,tdce,10
fitsinside,lvn,10
fitsinside,test,10
sum-divisors,baseline,159
sum-divisors,tdce,159
sum-divisors,lvn,159
sum-divisors,test,159
hanoi,baseline,99
hanoi,tdce,99
hanoi,lvn,99
hanoi,test,99
birthday,baseline,484
birthday,tdce,483
birthday,lvn,484
birthday,test,439
armstrong,baseline,133
armstrong,tdce,130
armstrong,lvn,133
armstrong,test,130
pascals-row,baseline,146
pascals-row,tdce,139
pascals-row,lvn,146
pascals-row,test,108
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
rectangles-area-difference,lvn,14
rectangles-area-difference,test,14
loopfact,baseline,116
loopfact,tdce,115
loopfact,lvn,116
loopfact,test,114
orders,baseline,5352
orders,tdce,5352
orders,lvn,5352
orders,test,5352
perfect,baseline,232
perfect,tdce,232
perfect,lvn,232
perfect,test,232
collatz,baseline,169
collatz,tdce,169
collatz,lvn,169
collatz,test,169
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
fizz-buzz,lvn,3652
fizz-buzz,test,3052
primes-between,baseline,574100
primes-between,tdce,574100
primes-between,lvn,574100
primes-between,test,574100
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
sum-sq-diff,lvn,3038
sum-sq-diff,test,2832
reverse,baseline,46
reverse,tdce,46
reverse,lvn,46
reverse,test,46
gcd,baseline,46
gcd,tdce,46
gcd,lvn,46
gcd,test,46
totient,baseline,253
totient,tdce,253
totient,lvn,253
totient,test,253
catalan,baseline,659378
catalan,tdce,659378
catalan,lvn,659378
catalan,test,659378
factors,baseline,72
factors,tdce,72
factors,lvn,72
factors,test,72
up-arrow,baseline,252
up-arrow,tdce,252
up-arrow,lvn,252
up-arrow,test,252
is-decreasing,baseline,127
is-decreasing,tdce,127
is-decreasing,lvn,127
is-decreasing,test,127
bitshift,baseline,167
bitshift,tdce,167
bitshift,lvn,167
bitshift,test,157
sum-check,baseline,5018
sum-check,tdce,5018
sum-check,lvn,5018
sum-check,test,5018
binary-fmt,baseline,100
binary-fmt,tdce,100
binary-fmt,lvn,100
binary-fmt,test,100
adj2csr,baseline,56629
adj2csr,tdce,56629
adj2csr,lvn,56629
adj2csr,test,56629
mat-mul,baseline,1990407
mat-mul,tdce,1990407
mat-mul,lvn,1990407
mat-mul,test,1990407
dot-product,baseline,88
dot-product,tdce,88
dot-product,lvn,88
dot-product,test,88
csrmv,baseline,121202
csrmv,tdce,120652
csrmv,lvn,121202
csrmv,test,120652
sieve,baseline,3482
sieve,tdce,3455
sieve,lvn,3482
sieve,test,3455
vsmul,baseline,86036
vsmul,tdce,86036
vsmul,lvn,86036
vsmul,test,86036
eight-queens,baseline,1006454
eight-queens,tdce,959702
eight-queens,lvn,1006454
eight-queens,test,959702
primitive-root,baseline,11029
primitive-root,tdce,11024
primitive-root,lvn,11029
primitive-root,test,11024
quickselect,baseline,279
quickselect,tdce,279
quickselect,lvn,279
quickselect,test,279
major-elm,baseline,47
major-elm,tdce,47
major-elm,lvn,47
major-elm,test,47
two-sum,baseline,98
two-sum,tdce,88
two-sum,lvn,98
two-sum,test,86
max-subarray,baseline,193
max-subarray,tdce,193
max-subarray,lvn,193
max-subarray,test,193
binary-search,baseline,78
binary-search,tdce,75
binary-search,lvn,78
binary-search,test,75
quicksort-hoare,baseline,27333
quicksort-hoare,tdce,27333
quicksort-hoare,lvn,27333
quicksort-hoare,test,27333
adler32,baseline,6851
adler32,tdce,6850
adler32,lvn,6850
adler32,test,6850
quicksort,baseline,264
quicksort,tdce,264
quicksort,lvn,264
quicksort,test,264
bubblesort,baseline,253
bubblesort,tdce,253
bubblesort,lvn,253
bubblesort,test,253
fib,baseline,121
fib,tdce,121
fib,lvn,121
fib,test,121
