benchmark,run,result
function_call,baseline,59809726
function_call,remove_nops,59809726
function_call,alias_analysis,59809726
dead-branch,baseline,1196
dead-branch,remove_nops,1196
dead-branch,alias_analysis,1196
mat-inv,baseline,1044
mat-inv,remove_nops,1043
mat-inv,alias_analysis,1043
cholesky,baseline,3761
cholesky,remove_nops,3756
cholesky,alias_analysis,3756
mandelbrot,baseline,2720947
mandelbrot,remove_nops,2720947
mandelbrot,alias_analysis,2720947
norm,baseline,505
norm,remove_nops,505
norm,alias_analysis,505
n_root,baseline,733
n_root,remove_nops,733
n_root,alias_analysis,733
riemann,baseline,298
riemann,remove_nops,298
riemann,alias_analysis,298
conjugate-gradient,baseline,1999
conjugate-gradient,remove_nops,1998
conjugate-gradient,alias_analysis,1998
sqrt,baseline,322
sqrt,remove_nops,322
sqrt,alias_analysis,322
newton,baseline,217
newton,remove_nops,217
newton,alias_analysis,217
leibniz,baseline,12499997
leibniz,remove_nops,12499997
leibniz,alias_analysis,12499997
pow,baseline,36
pow,remove_nops,36
pow,alias_analysis,36
cordic,baseline,517
cordic,remove_nops,517
cordic,alias_analysis,517
ray-sphere-intersection,baseline,142
ray-sphere-intersection,remove_nops,142
ray-sphere-intersection,alias_analysis,142
euler,baseline,1908
euler,remove_nops,1908
euler,alias_analysis,1908
bitwise-ops,baseline,1690
bitwise-ops,remove_nops,1690
bitwise-ops,alias_analysis,1690
palindrome,baseline,298
palindrome,remove_nops,298
palindrome,alias_analysis,298
pythagorean_triple,baseline,61518
pythagorean_triple,remove_nops,61518
pythagorean_triple,alias_analysis,61518
lcm,baseline,2326
lcm,remove_nops,2326
lcm,alias_analysis,2326
relative-primes,baseline,1923
relative-primes,remove_nops,1923
relative-primes,alias_analysis,1923
quadratic,baseline,785
quadratic,remove_nops,785
quadratic,alias_analysis,785
ackermann,baseline,1464231
ackermann,remove_nops,1464231
ackermann,alias_analysis,1464231
fact,baseline,229
fact,remove_nops,229
fact,alias_analysis,229
sum-bits,baseline,73
sum-bits,remove_nops,72
sum-bits,alias_analysis,72
mod_inv,baseline,558
mod_inv,remove_nops,558
mod_inv,alias_analysis,558
euclid,baseline,563
euclid,remove_nops,563
euclid,alias_analysis,563
recfact,baseline,104
recfact,remove_nops,104
recfact,alias_analysis,104
digital-root,baseline,247
digital-root,remove_nops,247
digital-root,alias_analysis,247
check-primes,baseline,8468
check-primes,remove_nops,8468
check-primes,alias_analysis,8468
fitsinside,baseline,10
fitsinside,remove_nops,10
fitsinside,alias_analysis,10
sum-divisors,baseline,159
sum-divisors,remove_nops,159
sum-divisors,alias_analysis,159
hanoi,baseline,99
hanoi,remove_nops,84
hanoi,alias_analysis,84
birthday,baseline,484
birthday,remove_nops,484
birthday,alias_analysis,484
armstrong,baseline,133
armstrong,remove_nops,133
armstrong,alias_analysis,133
pascals-row,baseline,146
pascals-row,remove_nops,146
pascals-row,alias_analysis,146
rectangles-area-difference,baseline,14
rectangles-area-difference,remove_nops,14
rectangles-area-difference,alias_analysis,14
loopfact,baseline,116
loopfact,remove_nops,116
loopfact,alias_analysis,116
orders,baseline,5352
orders,remove_nops,5351
orders,alias_analysis,5351
perfect,baseline,232
perfect,remove_nops,232
perfect,alias_analysis,232
collatz,baseline,169
collatz,remove_nops,168
collatz,alias_analysis,168
fizz-buzz,baseline,3652
fizz-buzz,remove_nops,3652
fizz-buzz,alias_analysis,3652
primes-between,baseline,574100
primes-between,remove_nops,574100
primes-between,alias_analysis,574100
sum-sq-diff,baseline,3038
sum-sq-diff,remove_nops,3038
sum-sq-diff,alias_analysis,3038
reverse,baseline,46
reverse,remove_nops,46
reverse,alias_analysis,46
gcd,baseline,46
gcd,remove_nops,45
gcd,alias_analysis,45
totient,baseline,253
totient,remove_nops,253
totient,alias_analysis,253
catalan,baseline,659378
catalan,remove_nops,659378
catalan,alias_analysis,659378
factors,baseline,72
factors,remove_nops,72
factors,alias_analysis,72
up-arrow,baseline,252
up-arrow,remove_nops,252
up-arrow,alias_analysis,252
is-decreasing,baseline,127
is-decreasing,remove_nops,121
is-decreasing,alias_analysis,121
bitshift,baseline,167
bitshift,remove_nops,167
bitshift,alias_analysis,167
sum-check,baseline,5018
sum-check,remove_nops,5018
sum-check,alias_analysis,5018
binary-fmt,baseline,100
binary-fmt,remove_nops,100
binary-fmt,alias_analysis,100
adj2csr,baseline,56629
adj2csr,remove_nops,56625
adj2csr,alias_analysis,56625
mat-mul,baseline,1990407
mat-mul,remove_nops,1990402
